ConfirmDate,start,end,Amnat Charoen,Bangkok,Buriram,Chachoengsao,Chaiyaphum,Chanthaburi,Chiang Mai,Chiang Rai,Chonburi,Chumphon,Kalasin,Kanchanaburi,Khon Kaen,Krabi,Lampang,Lamphun,Loei,Lopburi,Mae Hong Son,Maha Sarakham,Mukdahan,Nakhon Nayok,Nakhon Pathom,Nakhon Phanom,Nakhon Ratchasima,Nakhon Sawan,Nakhon Si Thammarat,Narathiwat,Nong Bua Lamphu,Nong Khai,Nonthaburi,Pathum Thani,Pattani,Phang Nga,Phatthalung,Phayao,Phetchabun,Phetchaburi,Phitsanulok,Phra Nakhon Si Ayutthaya,Phrae,Phuket,Prachinburi,Prachuap Khiri Khan,Ratchaburi,Rayong,Roi Et,Sa Kaeo,Sakon Nakhon,Samut Prakan,Samut Sakhon,Samut Songkhram,Saraburi,Satun,Sisaket,Songkhla,Sukhothai,Suphan Buri,Surat Thani,Surin,Tak,Trang,Ubon Ratchathani,Udon Thani,Unknown,Uthai Thani,Uttaradit,Yala,Yasothon,Thailand
2020-01-19,2020-01-12,2020-01-18,1.7899782897165397,1.583475011787033,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.7899782897165397,1.583475011787033
2020-01-20,2020-01-13,2020-01-19,1.5051162059482706,1.3268036561467191,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.5051162059482706,1.3268036561467191
2020-01-21,2020-01-14,2020-01-20,1.3478974234733514,1.221884836523277,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.3478974234733514,1.221884836523277
2020-01-22,2020-01-15,2020-01-21,1.2728589110871995,1.312518955365481,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.4142876789857772,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.2728589110871995,1.551158765431932
2020-01-23,2020-01-16,2020-01-22,1.239514296574501,1.3002155340858432,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.3690726540392892,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.239514296574501,1.5210465186322948
2020-01-24,2020-01-17,2020-01-23,1.2254363599272247,1.1474512589058707,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.3080461813175124,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.361595955474694,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.2254363599272247,1.395403472146592
2020-01-25,2020-01-18,2020-01-24,1.2197462606960765,1.226289358668143,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2524613281894428,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.3473657939091308,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.2197462606960765,1.369213856599266
2020-01-26,2020-01-19,2020-01-25,1.2175306567051507,1.3399204957735105,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2192800623330786,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2999373577514741,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.3528118407835008,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.2175306567051507,1.5631432237703347
2020-01-27,2020-01-20,2020-01-26,1.216694469864203,1.3250475717103034,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.20284920716914,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.249564855944531,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.344014321426533,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.216694469864203,1.4678467863401676
2020-01-28,2020-01-21,2020-01-27,1.2163869151410696,2.0077954398218263,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.1955041750403206,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.3400724028797586,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.3515410168234108,1.2163869151410696,1.2987638893542788,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,1.2163869151410696,2.1865739900333985
